,query,data
14,how-to-manage-second-factors,"I have added a hardware key to the account and a Google Authenticator. Is there any panel I can de-register these second factor, or add additional security keys?Hi @matlacki,I have reached out to the systems team for an answer on this. I will get back to you ASAP.Thanks,
Tom KHi @matlacki,This FAQ should help answer your question.loginBest,
Tom KHi,unfortunately there is nothing relevant there. I know what is second factor, I have added it, I understand the benefits, but:The FAQ is extremely basic, at the level of “computer needs to be plugged to mains” for people troubleshooting boot problems.Best,
MateuszIs there any hope for reply?Is there any hope for reply?I have asked the platform team for help with this. Thanks for your patience.All options for second factor authentication can be found at the NVIDIA Profile Portal: https://profile.nvgs.nvidia.comThanks! This is exactly what I was looking for.Awesome! Happy it was helpful.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
15,duplicate-threads,"At least in the Nano forum there is this:

Screenshot_20200316-0742501440×3040 409 KB
I removed those duplicates.Thanks,
TomThanks!Powered by Discourse, best viewed with JavaScript enabled"
16,mismatch-in-email-ids-between-profile-on-developer-nvidia-com-and-nvidia-com,"Hallo all,I recently updated my email id on my NVIDIA profile and it successfully changed after the standard verification email procedure. Then I expected the same to automatically have happened on my NVIDIA developer profile too, but to my surprise the old email id still remained. I was able to use my new email id to login into that same NVIDIA developer profile though, which doesn’t make sense tbh.I even tried to follow the instructions, but when I click on “edit profile” in the top right, the following page appears instead of whats shown in the instructions.

nvidia_developer_forum_edit_profile1610×894 77.6 KB
So, at the end I gave up and came here to ask for help. Hoping for a solution from any of the developers here.Thank you.Hi @Jayadev,Thanks for reaching out. I will have the systems team look into this and get back to you.Thanks,
Tom KHi @Jayadev,This should now be fixed. Please log out and reauthenticate.Thanks,
Tom KHi,
I’m in the same situation.
Can change the developer mail, but in the forum profile have the old one.Thanks,
A.GrandaHi @alejandro.granda,Please clear your browser cache, then log into DevZone or the developer forums. That should resolve the issue.Best,
Tom KThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
17,need-some-time-for-the-course-accelerating-end-to-end-data-science-workflows,"I spent much longer than I expected on certain parts and could use some more time to finish the last section and the assessment.Hello,Welcome to the NVIDIA Developer forums! I have extended the time for you.Cheers,
TomHi @cjv224,Did you have any issues accessing the course?Hi,Thanks for your quick response! I am able to access the course but my timer started at 12:50, so I was hoping to receive a few more hours to finish the course because 1 hour will not be enough time.

image.png1176×169 13.3 KB
Best,
ChrisI just added more time. I hope that is enough.Thank you very much!This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
18,nvidia-self-drive-cars-contact-us-form-not-working,"Hi. I’m having some problems using the “Contact Us” form on the Self-Driving Cars page. It looks like a server side issue, but there are no feedback when submitting to the form.
How do I get in contact with the Self-Driving Cars Partner program when the form is not working? I have written Nvidia directly with no answer and chat support tells me that I should try the forum.Autonomous car developers use NVIDIA DRIVE car technology to teach self-driving cars to see, think, and learn. Read moreBrowser console error, when submitting:
https://www.dropbox.com/s/4nnw4x8ttriw5gy/nivida_contact_issue.png?dl=0Thanks.

nivida_contact_issue.png1051×409 96.3 KB
Hello,Thanks for reaching out. I am looking into this now. I will get back to you, or have someone from the Drive team reply to you here in the thread.Best,
TomHello,What symptoms are you seeing when you try to submit the form, besides the errors that show in the inspector?FredHi Fred,There is no symptoms, like as in there are no feedback when the form is filled out and submit is pressed. If the form is filled out incorrectly (empty fields etc.) there is correct feedback with “This field is required” - but that looks like it’s javascript and not through REST. The console throws the error the first time I press submit, after that there is nothing.I have tried different external IPs, Safari and Chrome on MacOS and Firefox on Linux on a few different machines.Is it working on your end?Thanks,Hi Fred,Still nothing? Is there another way to get in touch with the self-driving team? Just a plain email address or something?The person who can investigate was out until today. I’ll ping her again.FredPowered by Discourse, best viewed with JavaScript enabled"
19,restart-course-course-progress,"I have paid for the class named ‘Introduction To Deep Learning’ and recently I have been busy out of town. Is there a way to restart course or add more time? I would really like to start at lab 1 again but I do not have the time allocated for the lab.Also how to you know that you are making progress in the course?Hello,I just granted you an additional four hours. Let me know if you have trouble accessing the course.Regarding the course progress, if it is a graded course there is a progress link near the top of the screen.Cheers,
TomWhen I try to start the video the video will not start. Is that a problem with the program or is that a problem with the course itselfnever mind it was a problem with my computerPowered by Discourse, best viewed with JavaScript enabled"
20,the-forum-frequently-blocks-me-from-posting-topics-with-clear-titles-that-are-complete-sentences,"I am trying to post a new topic with the titleIs an eventfd a valid cudaExternalSemaphoreHandleTypeOpaqueFd?but the title moderator is blocking me from posting.  This is a frequent problem.  Satisfying the title modbot  is a mysterious and frustrating process.Is there any way to work around the title moderator?Hello @cory.bloyd,What is the error that you are seeing? Have you tried posting with a shorter title?Title seems unclear, is it a complete sentence?I suggest removing “cudaExternalSemaphoreHandleTypeOpaqueFd” from the title and only include it in the post.Is an eventfd a valid external semaphore?worked.It is very frustrating to go through this process every time I try to post.  The APIs we are discussing are full of names like cudaExternalSemaphoreHandleTypeOpaqueFd.  The forum should not be confused by them.The issue is the maximum allowed word length in a topic title is 30 characters.
I bumped this to 50. Let me know if you still experience issues.Best,
TomThat is greatly appreciated!  Much thanks!Powered by Discourse, best viewed with JavaScript enabled"
21,cant-login-to-deep-learning-institute,"I cannot log in to the deep learning institute for a course that I purchased. Seems this has been an issue in the past.When I try to log into my course Fundamentals of Accelerated Computing with CUDA C/C++, a username/password dialog pops up:""Sign in to access this siteAuthorization required by https://courses.nvidia.comUsername:
Password:""I can sign into with my username /password to manage my NVIDIA account at NVIDIA Account.Previous Issue with same system:
Can’t login to Deep Learning Institute - Community Information / Forum Feedback - NVIDIA Developer ForumsThanks!JeffI have the same issue and can’t log in.Hi,I have the team looking into this issue now. Thanks for your patience.Tom KI was able to log in successfully. I didn’t do anything different. Thanks for getting it back up!!Great! Thanks for letting us know.Hi, i have the same problem, how did you resolve it? im going crazy over hereHi @pierinisantiago2,Are you still having issues with your login? If so, what error are you seeing?Thanks,
TomHi TomK,
it happens when i try to enroll in a course, it takes me to a page that it says
“You have successfully signed into NVIDIA, but your NVIDIA account does not have a linked NVIDIA account. To link your accounts, sign in now using your NVIDIA password”
and when i try to login this happens
""#### We couldn’t sign you in.its been way more than 30 min and i cant login, please help me, i really want to take the course@pierinisantiago2,I have the team looking into your issue now. Thanks for your patience.Thank you Tom!
Is there a way i can access the courses in the meanwhile?Unfortunately that is not possible.Hello, I am unable to Log-In my Nvidia Developer Account, I am stuck on the security challenge page, I am not receiving any email , my email   is   "" @icloud.com  "" . I have no mails, neither any spam !! This account is very important for me !!@ish100.ishan,How are you posting here in the forums if you cannot log in? Are you referring to the DLI login? Please provide a screenshot of the login page you are using.Thanks,
Tom@TomNVIDIA  I had to make a new Account !! I have had access to the Nvidia Developer account since Jan 2020 !! My email id ends at @icloud.com !! I am not able to receive any mail for security verification !! All my data for that account is very important for me !   that email is  ishanbhatnagar****@icloud.com !!I am not finding your account. Can you please private message me the exact user name and email address used?Are you able to log into your DLI account now?Hi Tom, i just tried and still i cant access, it says the samething as before:
""#### We couldn’t sign you in.Hi @pierinisantiago2,Sorry to hear. I have escalated your issue to the DLI team. I don’t have an ETA for you, but will be sure to let you know when this has been resolved.Best regards,
Tom@pierinisantiago2,You should have received an email from the DLI team. Let me know if you have any questions.Thanks,
TomHi Tom, I finally resolve the issue, it seems that it was missing a step in my Nvidia account configuration, after doing that I was able to access the deep learning institute with no problem.Thank you so much for your help.
SantiagoPowered by Discourse, best viewed with JavaScript enabled"
22,incorrect-email-or-password,"I read this topic from a year ago https://devtalk.nvidia.com/default/topic/1057977/forum-feedback/unable-to-login-through-sdk-manager/
and I have the exact same thing. Reset my password 3x, unblocked 3x. Tried to connect from 3 different IPs. Nothing works. How is this still so bad when it was known a year ago?Hello,I have our engineers looking into your account. I will update here when i have info.
Thanks for your patience.Best,
TomI am also having login issues.I am only logged in because I chose create new account and it then knew who I am and logged me in.I can live without the forums. I need SDK manager.
I am moving from a dev kit to a new module on a small carrier board as a sales prototype.  I need to configure it but I can’t get into sdkmanager.On linux box I cleared cookies and browser history.  I was able to make a new account but still couldn’t get into sdkmanager.I need help soon.Teitel, you can temporarily get past it by switching ips. Try your phone network. You just need to get past the login screen, after that you can switch backTeitel, you can temporarily get past it by switching ips. Try your phone network. You just need to get past the login screen, after that you can switch backthe phone network didn’t work.  I hope I don’t have to go to Starbucks.
or NVIDIA headquarters is 2 miles away.  their lobby network might work…or where can i download the R3.2.1 image from so I can work offline.@CC.L . You should be good to go now.@Teitel, We are looking into your account. Please stand by.Thanks,
TomThanks for the quick help @TomK@NvidiaPowered by Discourse, best viewed with JavaScript enabled"
23,where-can-we-post-issues-with-documentation,"If there are issues with any NVIDIA produced documentation what is the appropriate channel?
I’m working my way through various README etc files from L4T-README that came with the Xavier but from what I can tell this isnt an Xavier specific issue.
Thanks!The Xavier forum is here:
[url]https://devtalk.nvidia.com/default/board/326/jetson-agx-xavier/[/url]
(which covers L4T on the Xavier)The subset of various Jetsons are here (and the above Xavier URL is part of this):
[url]https://devtalk.nvidia.com/default/board/139/embedded-systems/[/url]Powered by Discourse, best viewed with JavaScript enabled"
24,how-to-change-the-nvidia-web-password,"Was informed by Google that this site has been hacked and user information has been stolen, so I wanted to change my password, but I am unable to figure out how to do this either for the forum here or for the whole https://developer.nvidia.com/ web site. The way the profile editing GUI is designed is really the worst of all sites I am on, and I am  on a lot of sites.Hi Johann,Sorry for the confusion, please visit this page to update your password.
https://www.nvidia.com/en-us/account/edit-profile/We are currently working to improve the PW reset process.Best,
Tom KUpdate: The website has been improved to make changing passwords easier.
The “Change password” link can be found on the user profile page: My Profile | NVIDIA DeveloperPowered by Discourse, best viewed with JavaScript enabled"
25,page-not-found-jetson-linux-release-notes-r35-2-1-pdf,"Hi,
In Release Notes :: NVIDIA JetPack Documentation the link to Jetson Linux release notes is broken.Hi @Gorgo90,Thanks for reaching out with this info. I have the team looking into this now. I will let you know when this has been fixed.Best,
TomHi @Gorgo90,I am happy to report that this is now fixed.Release Notes :: NVIDIA JetPack Documentation237.92 KBThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
26,gtc-conference-topics-april-12-16-2021,"GTC is packed with breakthroughs in AI, data center, graphics, accelerated computing, intelligent networking, and more. Come explore a wide range of interactive sessions, recorded presentations, demos, podcasts, training, and more covering the most transformative technologies of our time.
REGISTER FREE
AI for Emerging MarketsRegister FREE, Streamed online.Architecture, Engineering & ConstructionRegister FREE, Streamed online.AutomotiveRegister FREE, Streamed online.Autonomous Machines & RoboticsRegister FREE, Streamed online.Financial ServicesRegister FREE, Streamed online.Game DevelopmentRegister FREE, Streamed online.GPU ProgrammingRegister FREE, Streamed online.Graphics, Design, & SimulationRegister FREE, Streamed online.IoT, 5G, & EdgeRegister FREE, Streamed online.ManufacturingRegister FREE, Streamed online.Media & EntertainmentRegister FREE, Streamed online.OmniverseRegister FREE, Streamed online.Data Center, Networking, & VirtualizationRegister FREE, Streamed online.Data ScienceRegister FREE, Streamed online.Energyhttps://www.nvidia.com/en-us/gtc/topics/energy/Deep LearningRegister FREE, Streamed online.HealthcareRegister FREE, Streamed online.High Performance ComputingRegister FREE, Streamed online.Higher Education & ResearchRegister FREE, Streamed online.Intelligent Video AnalyticsRegister FREE, Streamed online.Public SectorRegister FREE, Streamed online.Retail & Consumer Internethttps://www.nvidia.com/en-us/gtc/topics/retail-online-shopping/Telecommunicationshttps://www.nvidia.com/en-us/gtc/topics/telecommunications/Virtual Reality & Augmented Realityhttps://www.nvidia.com/en-us/gtc/topics/augmented-and-virtual-reality/Powered by Discourse, best viewed with JavaScript enabled"
27,french-section,"Hello, I must be the first surprised, but he does not seem to see francophone section on the forum, I d 'dose to be the only one? would it be possible to eventually see a section in French or is it too difficult? thank youHello Devhci,Thanks for reaching out. Unfortunately, there are no plans to add French language support in the forums anytime soon. The addition of other languages has been discussed but is not on the roadmap at this time.Best regards,TomHello, excuse me for this late response, thank you for your response and wait for the next release, good dayPowered by Discourse, best viewed with JavaScript enabled"
28,long-topics-seem-to-break-forum-layout,"Long topics seem to break the layout (at least in firefox). Currently on the linux board: https://devtalk.nvidia.com/default/board/98/ I can see this: 


Which makes posts below not visible/clickable.Hello,Unfortunately, I cannot replicate this on my Windows or Mac. The good news is that the new forum platform is coming in a couple weeks, so issues like this will be resolved.Cheers,
TomPowered by Discourse, best viewed with JavaScript enabled"
29,can-we-still-change-our-email-address,"Continuing the discussion from Instructions for changing your email address:
My employer is changing our email addresses, but this forum discussion appears outdated (or I’m misunderstanding).  Is it still possible to change my email address?Yes, you can use those instructions to update your account email addresses. Let me know if you have any issues.Thanks,
TomKPowered by Discourse, best viewed with JavaScript enabled"
30,you-have-exhausted-the-lab-time-provided-with-your-course-enrollment,"Dear Nvidia community,
I started with NVIDIA paid Course: "" Building Real-Time Video AI Applications""
I just finished half of the material. I can’t start the laboratory now and I get a pop-up window error: "" Usage Limit You have exhausted the lab time provided with your course enrollment.""
I have been facing the following issue :

image715×208 11.1 KB
Course:  Building Real-Time Video AI Applications
My Username/email: aditya.sawant@quantiphi.comWould it be possible to add some extra time to finish the course?Thanks in advance!!Can you click “contact support” and get support there? This forum focuses on DeepStream technical issues, we don’t have access to the backend of DLI.Hi @yingliu I have clicked and mailed on “contact support” but for so many days, No reply from their endHi @aditya.sawant1,I have added more time to your course. Let me know if you have any issues accessing the class.Best regards,
TomThanks for the help @TomNVIDIA I have got additional lab time and also I have completed the CourseGot a Certificate Also ThanksAnytime @aditya.sawant1! Congrats on completing the course.Cheers,
TomThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
31,cant-login-to-account-23-09-2020,"Same as mentioned in the previous post: Login to SDK Manager - #9 by changbins
I cannot login to SDK manager. I did reset my acc password 3 times, can log in to this forum, but not in the app.It displays “incorrect login or password”.I have newest sdkmanager(1.2.0.6733)Hello,We checked your account, and there are no issues showing up.Please try again. If you still experience errors, please provide a screenshot to help us troubleshoot.Thanks,
TomHI @TomNVIDIA - I am having an issue after downloading the latest SDK Manager 1.3.0.7195When I attempt to log into the SDK Manager, it opens a new browser window.I am prompted for my email address.Then it prompts me for my email address again, and my nvidia account password.I put that in, and I receive the following message:The operation was not valid. See Details or docs for more information.Back to NVIDIAFrequently asked questionsI’m assuming this has to do with the latest version of NVIDIA SDK Manager.  Do I need to rollback to the previous version?  If so, how?-brianLooks like after a password reset, and “refreshing” my profile via a web browser with some additional information and closing and reopening SDK Manager several more times I was able to successfully make it with with the latest version of NVIDIA SDK Manager.Looking forward to playing with the AGX Xavier! :)Hi Brian,Glad you got it sorted out.Cheers,
TomPowered by Discourse, best viewed with JavaScript enabled"
32,access-technical-content-from-leading-industry-events,"Access Technical Content from Leading Industry EventsNVIDIA On-Demand is a searchable database of content from past NVIDIA GPU Technology Conferences (GTC) and other industry leading events. Explore the extensive catalog of sessions, podcasts, and demos. Learn at your own time, at your own pace, anywhere.View Content Catalog Powered by Discourse, best viewed with JavaScript enabled"
33,publish-an-article-on-devblogs-nvidia-com,"Hello, my name is Anton.I’ve been working for a while on my SPH-based airfoil simulation based on CUDA. Generally, I’m using Tero Karras’ approach to find collisions between particles as fast as possible.I’ve got some promising results. Particularly I can process up to 2’097’152 particles in real-time in 2D on 1080 TI at ~12 FPS. The physics part itself is not fully complete yet, but it’s not the most performance-critical part of the simulation to be focused on right now.I’d like to share either the current or further results with the community. Is it possible to publish a post or an article on devblogs.nvidia.com in the future?The Tero Karras’ approach:
https://devblogs.nvidia.com/wp-content/uploads/2012/11/karras2012hpg_paper.pdf (original paper)
Thinking Parallel, Part III: Tree Construction on the GPU | NVIDIA Technical Blog (brief explanation)The simulation video:Hi Anton,Thanks for posting. I am going to share this with one of the folks here at Nvidia that help with the blog content.
He might reach out to you here in the forum or in a private message.Cheers,
TomPowered by Discourse, best viewed with JavaScript enabled"
34,reporting-sdk-manager-issues,"There may be times when you have issues logging into the SDK Manager.The first thing is to make sure you are not using your Google, Facebook, Wechat or QQ account credentials to sign-up at developer.nvidia.com. You will not be able to use these credentials to log in to NVIDIA SDK Manager.
You would need to create a new account without using these social media services.If you are still having issues, please provide the following information in a private message to me.o	DevZone Username and email address
o	SDKManager version, JetPack version being downloaded
o	Approximate day/time the download was slow or failed
o	The city you are located in and the ISP used
o	Your IP address -  https://www.whatismyip.com/ 
o	Detailed description of the problem: cannot connect to download, the download fails one or multiple
times, download is slower than expected, the install fails after download, etc.By providing this information, you will help us resolve your SDK Manager issue with less delay.Thanks,
TomPowered by Discourse, best viewed with JavaScript enabled"
35,gtx-1060-update-driver-failed-code-52,"Windows cannot verify the digital signature for the drivers required for this device.
A recent hardware or software change might have installed a file that is signed incorrectly or damaged, or that might be malicious software from an unknown source. (Code 52)driver date: 9/5/2018
Driver ver: 24.21.14.1131I see the license.txt is not upgraded. It is still the old one.
and driver detail: provider: unknown…all other params are: unknownwhen I rollback to previous driver: 9/1/2018cudaErrorInsufficientDriver(35)This particular forum is the wrong one for what you want to do. If this were just a desktop PC driver issue you would probably need to go here for support options:
[url]https://www.nvidia.com/object/support.html[/url]If it is specific to installing on Linux, then you’d need to provide information on which version of Linux you use (e.g., Ubuntu 18.04, Fedora, so on). If this is Windows, then you’d also need to say Windows 7, Windows 10, so on. Then you’d need to post here (which I suggest because it looks like you are installing not just a driver, but specifically CUDA):
[url]https://devtalk.nvidia.com/default/board/58/cuda-setup-and-installation/[/url]Powered by Discourse, best viewed with JavaScript enabled"
36,quadro-notebook-laptop-support,"Was referred to this Developer Forum for help with Quadro issues, but there is no obvious category for that.Where does one post for help with a Quadro card? Would be nice to add something to the category list.Thanks.Hi @dailyvideo,Unfortunately there is no forum for specific cards. For developer issues you might consider posting to the GPU Hardware category.Discussions about Professional GPU and other hardware issuesIf this is a consumer issue, you should reach out to the Laptop vendor for support.Best regards,
Tom KPowered by Discourse, best viewed with JavaScript enabled"
37,import-queue-importerror-no-module-named-queue,"krisna@krisna-desktop:~/ros_coba$ rosrun rosserial_arduino serial_node.py /devttyUSB0
Traceback (most recent call last):
File “/home/krisna/ros_coba/src/rosserial/rosserial_arduino/nodes/serial_node.py”, line 37, in 
from rosserial_arduino import SerialClient
File “/home/krisna/ros_coba/devel/lib/python2.7/dist-packages/rosserial_arduino/init.py”, line 34, in 
exec(__fh.read())
File “”, line 1, in 
File “/home/krisna/ros_coba/src/rosserial/rosserial_arduino/src/rosserial_arduino/SerialClient.py”, line 43, in 
from rosserial_python import SerialClient as _SerialClient
File “/home/krisna/ros_coba/devel/lib/python2.7/dist-packages/rosserial_python/init.py”, line 34, in 
exec(__fh.read())
File “”, line 1, in 
File “/home/krisna/ros_coba/src/rosserial/rosserial_python/src/rosserial_python/SerialClient.py”, line 41, in 
import queue
ImportError: No module named queueWhat the problem ?Hello,Welcome to the NVIDIA Developer forums. This is the community feedback forum, please provide for information on your issue and I will move this post to the correct NVIDIA forum.What product or framework is this relating to?Powered by Discourse, best viewed with JavaScript enabled"
38,course-enrollment-question,"I signed up for various courses and they show up on my schedule on my GTC dashboard here, however I was checking out the “prepare” page to make sure I have all the requirements in a rowa and when i checked my course dashboard it says “You are not enrolled in any courses yet”. Is this normal. The first course I enrolled in is on Thurday, so it’s a bit early but I wanted to check anyway.Hi @mdegans, Somehow this topic got pushed to the bottom with no replies. I believe this was resolved. Can we mark as solved?Thanks,
TomPowered by Discourse, best viewed with JavaScript enabled"
