,query,data
10,reinforcement-learning-example-jetracer-jetbot,"I ask me, where do I find the two reinforcement Learning examples provide by NVIDA Issaac Sim??https://docs.omniverse.nvidia.com/app_isaacsim/app_isaacsim/rl_samples.htmlThey arent in the new Documentation… I neeed the Documentation to work on my project.We are planning on simplifying and adding back the jetbot RL sample for the december bugfix releaseMay I ask if these updates were done, or if there are such RL examples for the JetRacer? I am going to get IsaacSim set up locally this week and would like to explore some example code for help in my senior design project. Thanks!@vminin , can you  try this link?19. Reinforcement Learning using Stable Baselines — Omniverse Robotics documentationIs there any new link for reinforcement learning example/tutorial in Isaac Sim?? Especially for jetbot or jetracer.Hi @ming_johnson - You can find more information for Isaac Gym and tutorials here: 1. Overview & Getting Started — isaacsim 2022.2.1 documentationI am trying to find documents for jetbot/jetracer road following examples in isaac sim. All of them posted in the past were deleted.Powered by Discourse, best viewed with JavaScript enabled"
11,usd-export-use-settings-for-render-crashes-create-22-3-3,"Hello! I found out that Use settings for “Render” crashes Create 22.3.3 - at least if there is animation of the scene…First I exported with  Use settings for “Viewport”:

settings for viewport891×628 43.3 KB
and then another version with Use settings for “Render”:

settings for render757×697 45.6 KB
See here the video, its visible that the fur is much more dense and realistic. That´s cool but Create crashes when I move the timeline :PekkaHello @pekka.varis.  Would you be able to provide the USD which crashes Create/Composer?  Please feel free to message me directly to provide the file, if you prefer.  Thanks.Powered by Discourse, best viewed with JavaScript enabled"
12,unable-to-create-fire-flow,"Hello Omniverse community,Can you provide guidance on how to generate synthetic data for creating a fire flow? Is it possible to utilize the usda format, as shown below?When I run replicator, fire flow does not come up. omni.flowusd extension is enabled.Thanks!Best regards,
ShakhizatHi @shahizat Currently there’s no way to segment flow effects. However this isn’t the first time its been requested, and we do have this on the roadmap to implement. Unfortunately I can’t give a date for this yet. I am however looking into whether there’s a workaround for this, but nothing to report yet.Hi @pcallender, thank you for your reply. If someone is interested,[here] I implemented an  automated image labeling using Grounding Dino zero shot approach for flow effects(Fire Detector Using Omniverse Replicator And Arduino Nicla - Hackster.io).Powered by Discourse, best viewed with JavaScript enabled"
13,is-there-a-way-to-manage-prim-like-unitys-prefab-or-sketchups-component,"I want to manage prim like Unity’s prefab or sketchup’s component.If it’s a prim with the same properties, all of them change when you change it.In USD you can do this by putting the model in a separate file then creating a “reference” to the file. If you change the settings in the referenced file (the equivalent of a Unity prefab), all locations referencing it get updated. So “references” are kinda like prefab references, and “layers” and kinda like “overrides” of prefabsThank you for answerPowered by Discourse, best viewed with JavaScript enabled"
14,weird-joint-effort-target-pos-and-vel-behavior,"Hello,Si I’ve been so far working with a setting where I send joint position and velocity targets:But I now want to get the joint efforts to minimise them. Unfortunately the get_applied_joint_effort doesn’t seem to wwork in hte current release, so I was trying to do it myself, using the formula with stiffness and damping and trying this:he problem is that it just doesn’t work and I’m not sure why. Simulation results are very different (and also with +forces instead of - forces, and with serveral tweaks too). This is supposed to be a direct replacement of the above method righ t? what am i doing wrong ?The method you’re trying to use to calculate joint efforts is based on a simple model of a damped spring system, where the force is proportional to the displacement (difference between target and current position) and the velocity (difference between target and current velocity). This is a common model used in control systems, but it may not accurately represent the behavior of a real robot, especially if the robot has complex dynamics or non-linearities.Here are a few things you could check:Powered by Discourse, best viewed with JavaScript enabled"
15,feature-request-for-omniclientliveprocess,"Hello,based on the c+±api-documentation omniClientLiveProcess() cannot be called while no other usd-apis are called. That makes sence because thise calls would create more changes to the usd scenes that are synced by calling omniClientLiveProcess().But what if a process maintains more than one usd scene in parallel (like in our scenario)? Than calling omniClientLiveProcess() created a bottleneck because no usd scene can be changed while the changes (that are made to one of those scenes) are synced.Would it be possible to extend omniClientLiveProcess() to pass the usd-file one would like to sync? In that way it would be possible to change and sync more than one usd scene in parallel without creating a bottleneck.That would realy help us.ThanksCarlPowered by Discourse, best viewed with JavaScript enabled"
16,not-able-to-sign-in-revit-omniverse-connector-file-transferring-failed,"Hi team ,
I am exporting the file from Revit 2023 using Omniverse connector 201.1.2338 to Omniverse Create.
I am facing two problems in connector .
1.Sometimes I am not able to sign in in Revit connector. I have attached the error for your reference.
2. While exporting the sample 3d file from Revit to Omniverse create using connector , In omniverse no files are visible. The stage is empty. I have added the screenshot. I am transfer the file using Nucleus server with connector .
Screenshot 2023-05-19 1235581908×954 124 KB

Screenshot 2023-05-19 1230591076×178 35.6 KB
in the settings in revit can you enable logging and download the log after you export.
also regarding the login issue you said you attached the error but I don’t see anything in postThanks @rcervellione . I will Check this and get back to you.Powered by Discourse, best viewed with JavaScript enabled"
17,failed-to-execute-script-main,"When i launch Omniverse, an error says “Failed to execute script__main__”.
If i launch Create oy audio2face, the screen stays blank with a ""
do not answer"" message.Could you please help?System :
Windows 10 : build 19044.1889,
AMD Ryzen 9 5950X 16-Core Processor 3.40 GHz,
NVIDIA Geoforce RTX 3080, driver version 516.94.Any help? Please 🙏Has this problem been solved? I also have this situation, can you help me solve itPowered by Discourse, best viewed with JavaScript enabled"
18,nvidia-folder-lock-in-the-local-host,"Hi,I am following a github page to establish ROS2 with VDA5050 Isaac mission dispatch.
Screenshot from 2023-07-20 16-57-141246×827 80.5 KB
According to the tutorial, I must be able to access the files in Nvidia. However, it looks ‘read-only’ permission.Could you let me know on how to change the permission to edit?These are not editable files. These are accessible for all customers to read. You can copy them into your own working directory and edit them from there.Powered by Discourse, best viewed with JavaScript enabled"
19,omniverse-revit-connector-v202-0-2400,"We are pleased to announce the release of Omniverse Revit Connector v202.0.2400!This version adds the Omniverse Kit UI file and folder pickers as well as big improvements to batch exports and customizable 1-click exports.More information on this release can be found here:
release ntoesReinstaling windows 10, Revit 2024 and omniverse connector  202.0.2400. Export the sample project and no idea the UV  still bad. I dont understand why  and “0” support since months???

Img1515×1057 60.9 KB


image1144×831 396 KB
Powered by Discourse, best viewed with JavaScript enabled"
20,how-to-randomize-only-one-material-for-multiple-objects,"Hey there,I want to randomize the materials of the floor tiles from the warehouse (warehouse_multiple_shelves.usd) example. Therefore I added some Materials from the materials tab to the scene which are then located at  /Root/Looks/* . I want to choose just one material for all the floor Elements but I can’t find the right method to do so.I am able to choose random Materials for every floor Element individually with the following method:But I would like to be able to do something like this:But I don’t know how to get one random material from the  rep.get.material  method as it returns a  rep.replicator.core.get.material  and i can’t find the documentation on those objects. Is there any documentation on the  rep.replicator.core.get.material  Object and/or on the  ReplicatorItem  object to look things up?
Also the  rep.modify.attribute(name=""material"", ...)  method does not change the material of the Tiles. Maybe I did something wrong there.Thanks in Advance.First I would move all of the floor prims into a newly created Xform Prim:Then I would try running this script:What this will do is change the material for SM_floor and apply it to all of it’s children. It is import to have rep.create.material_omnipbr inside of the trigger functionality to see the material change.Also note that loading material textures can be a bit expensive, so if you have only a limited number of textures (as in you know you’ll be re-using them) and you’re going to be shuffling your training data before training, you can place that block under a separate trigger with a higher interval. That way your characters and camera randomize each frame but you minimize the number of time Kit has to load in a new texture.Thank you very much for your fast reply.I try to do this with materials from the  Window/Browsers/Materials which I add to the stage. As they are better suited for what I need them and I want to randomly choose one material from a large number of materials which would be a lot of work to put them all in a list manually and as they may vary from stage to stage it would not be very efficient.Isn’t there a possibility to do this with those materials? So to get a list of all the materials in the  /Root/Looks/ folder from the stage. And then use theThanks for the hint. I also considered doing the material randomization not every frame but instead like every 100 Frames. I hope I understood it right how to do this (in pseudocode below). So that in the End it would look  something like this:Are there any updates on this topic? Because I am trying to use the Materials from Window/Browsers/Materials but i am not able to assign them via a Python Script? What is the reccomended way to do this?If I assign the material like this:

image749×191 11.1 KB
I get the following error message and the rendering process stops ==> I have to stop the script manually:

image1326×130 38.6 KB
Maybe there is a possibility to load a material to the stage via a script?My solution was to first load the material into the stage and then assigning it to the prim:

image857×475 25.7 KB
We will have some material workflow updates coming to a future version of Replicator that will help with adding materials to a scene, applying them and examples of editing their properties.For others who might be coming here in the future, we have and will be adding material example scripts here.Thank you, looking forward to it.Powered by Discourse, best viewed with JavaScript enabled"
21,problem-of-using-the-replicator-with-a-fully-developed-scene,"I did use the codes below to label a bear in existing loaded Issac sim scene but it seem not work.import omni.replicator.core as rep
with rep.new_layer():
render_product = rep.create.render_product(‘/Root/Camera’, (2048, 1024))I do not know if that is the complete code, but your script is missing rep.orchestrator.run() in the end. Please post the complete code if possible.I just want to find the prim and label it but the full code requires triggering randomization to both randomize and label.Yes I understand that. I had a similar problem when I tried to retrieve the camera position.  What you’re actually doing is preparing a graph - but that graph hasn’t run yet. I asume that’s why when you try to apply the labels that it is not working.Hi @dangkhoaI tried your script with a slight modification in Isaac.To simplify the scene added a cube instead of a bear called “BearCube”, but the script is functionally the same, aside from adding the replicator import at the top.This script works correctly, but as julian mentioned above, when you enter this script into the script editor, you must click the “run selected” button at the bottom of the script editor to create the replicator graph. Then you can preview results by selecting Replicator>Preview a few times to verify that the bear is being randomly hidden or made visible.Powered by Discourse, best viewed with JavaScript enabled"
22,isaac-sim-rendering-is-getting-slow-after-some-time,"I am using isaac sim for the following purposeHi @nv_rtx - The gradual slowdown in rendering speed could be due to a few reasons:Here are a few suggestions to improve the rendering speed:after setting the world I am calling set_pose first to change the position of the object. Then using render function I am getting the image. This happens in loop in an another program. Do you think I am missing something herePowered by Discourse, best viewed with JavaScript enabled"
23,telecentric-lens-in-isaac-sim,"Is it possible to model a telecentric lens in ISAAC sim?Would the camera parameters be enough to setup such a camera?Powered by Discourse, best viewed with JavaScript enabled"
24,issac-sim-people-simulation,"Hello, I’m working on characters simulation with omni.anim.people. I have an issue when I try to increase the scale of the character.
If I apply a transformation on the scale of the character on the xform root, my character is scaled but when I start the simulate, the character no longer moves to the target position and he moves weird.
I think it’s because the skeleton returns to its original scale when the simulation is launched. How can I also apply the scale transformation while the simulation is running?Powered by Discourse, best viewed with JavaScript enabled"
25,bug-some-writer-rgb-images-are-blacked-out-when-generating-with-randomizer-instantiate,"Hi,I’m working in headless mode to generate RGB images and Semantic Masks for several models (usd files all under the same directory), for each frame, I want only a single object with its mask.To do that, I’m using randomizer.instantiate with size=1, after calling utils.get_usd_files on the models directory (this is similar to the SGD tutorial).For most results, this is working correctly, however some images (about 5%) are completely blacked out
The segmentation mask is still fine.
Note the source USD file is ok - If I’m only running the script on a single model at a time (using the from_usd command) this works well with all models in the folder.Here’s the code:I’m not able to reproduce the issue on my end. Which version of Replicator are you using? Also, what are the values you are using for IMAGE_SIZE and FRAMES?Would you also be able to share the .usd file for further testing? You can DM the asset if possible.Powered by Discourse, best viewed with JavaScript enabled"
26,maya-arnold-error,"For unknown reasons, the arnold shortcut toolbar will be lost when the connector is loaded, and the rendering settings will lose arnold。
maya2023.2
arnold core 7.1.3.0Sorry for the trouble. Arnold needs to load later then Maya Connector to make it render MDLs right.
Maybe you can run a script to make sure Arnold loaded after Maya starts.Powered by Discourse, best viewed with JavaScript enabled"
27,compute-the-corners-for-an-array-of-prims-not-a-prim-in-omniverse-code-script-editor,"I wrote the following code which computes the corners for a single prim.How can I pass an array of prims to it and compute the corners? I need to do this in Omniverse Code Script Editor not Isaac Sim.Also could you please verify if the way I have setup bbcash is correct? I am new to USD API.Hi @mona.jalalDid you find any solution for your query?Hello, here’s an example of how to combine bounding boxes for multiple primsIt is also possible to put the multiple prims under the same xform parent and retrieve the bounding box from that object.Powered by Discourse, best viewed with JavaScript enabled"
28,cat-model-is-craching-my-blender-3-6,"See, when I try to export this cat model, blender crashes:As you see from video, I did not even tried to use “child particles” or animation.
It just crashs when I export with default settings.
Blender Log files are here for you:
UMMLibrary.zip (147.3 KB)The other cat model with fur is exporting just fine!I cannot fidn out why its doing this, this is supposed to be AAA model.Royalty free 3D model Cat Grey Tabby for download as blend, obj, and fbx on TurboSquid: 3D models for games, architecture, videos. (1935214)I hope someone from Nvidia could check this cat model and why it crashes.
I managed to export it few times, but then crashing started and Blender re-intallation did not helped me…Hi @pekka.varis.  Thanks for reporting this!  By any chance, would you be able to attach the Blender crash log when this happens?  The crash log is usually written to the temporary directory:https://docs.blender.org/manual/en/latest/troubleshooting/crash.htmlThanks!
I made it crash again with the same export try.
Then I searched my PC for the file “GreyTabbyCat.crash.txt” but nothing was found…I just sent the original blender file for you as PM.
Hope you have some time to check it out :)Ha! Windows found the crash log after a while…GreyTabbyCat.crash.txt (39.5 KB)Hi @pekka.varis.  Please try the export with the latest Blender 3.6.0 Alpha v200.1 that was released today to the Omniverse launcher.  From my tests, this version addresses UI issues that were causing the crash, but please let me know if this scene still crashes for you.  Thanks.Hello!
Yes it does not crash anymore, but the fur animation is not exported to usd anymore:See in the previous version it worked:What might this be?Hi @pekka.varis.  I’m sorry for the delayed reply.   We’ve been investigating this issue and will report back once we have a resolution.   Thanks for reporting this.@makowalski Hi there!
Is this issue fixed on the latest 3.6 Alpha ?
just asking, i am on a holyday without a RTX gpuHi @pekka.varis.  It appears that the lack of animation is actually an issue in Composer.  The Kit/Composer team is investigating this.  I will update this thread when this is resolved.@pekka.varis As an update, we were just informed that this issue has bee fixed in Composer.  We will let you know when this fix has been released.Great news, Thanks @makowalski !Powered by Discourse, best viewed with JavaScript enabled"
29,isaac-sim-lane-following-from-jetbot,"How to train the JetBot in Isaac Sim with reinforcement learning and test this trained RL model on NVIDIA Jetson Nano.this link shows about training jetbot using Isaac sim had plenty of tutorials on the NVIDIA website which are no longer there.
i am trying to train a jetbot to do lane following using the camera module.master/isaacsim_patchAn educational AI robot based on NVIDIA Jetson Nano.
this link sadly has plenty of deprecate code
for instance “omnikithelper” is no longer used. there is “from omni.isaac.kit import SimulationApp”i use the camera function from the from “omni.isaac.sensor import Camera”camera = Camera(
prim_path=“/World/Jetbot/chassis/rgb_camera/jetbot_camera”,
resolution=(256, 256),
)my_world.scene.add_default_ground_plane()
my_controller = DifferentialController(name=“simple_control”, wheel_radius=0.03, wheel_base=0.1125)
my_world.reset()
camera.initialize()i = 0
camera.add_motion_vectors_to_frame()while simulation_app.is_running():
my_world.step(render=True)
print(camera.get_current_frame())
if my_world.is_playing():
if my_world.current_time_step_index == 0:
my_world.reset()
my_controller.reset()i followed some of the tutorials which just shows standalone to train the bot to reach an object.
but sadly nothing on using camera from the jetbot to do real time decision using ML model.
any suggestions are welcome here.There is a bug in the current camera API that will be addressed in the next release.  I have a work around for this though!  You will need to use the replicator API directly thoughFirst, we need to define the render product and attach it to an annotator.then, when we want to capture we need to step the orchestrator, and retrieve the data from our annotatorThis is a much more elegant solution than the hack I came up with for my live stream :/ such is life!Powered by Discourse, best viewed with JavaScript enabled"
30,abs-hard-leather-grey-turns-into-red-after-being-added-to-mesh,"
image1435×811 60.1 KB
After opening my project this morning all grey meshes with the material ABS_Hard_Leather_Grey turned into the red, which can be seen in above picture. This picture also shows a newly created stage, where I added ABS_Hard_Leather_Grey to a cube, which turned red instead of some grey. Are other people experiencing this bug as well?I’ve run into this too recently. Let me check with the dev team to see what it means when a material goes red like that.Hi @riekeles. Red material is usually an error material. Something failed. Either compilation or Material resolution.  What is ABS_Hard_Leather_Grey and is it from NVIDIA? If so, can you provide:Hey Sorry for not replying - must have missed it :/
The ABS material was from NVIDIA and probably deleted. I just changed the colour to a different grey, provided by NVIDIA.Powered by Discourse, best viewed with JavaScript enabled"
31,omniverse-connect-sample-updates,"100.2100.1101.1.5Hi，I found a bug in connect sample
If I run run_py_sample.bat, ERROR comes：
Python, USD, and Omniverse Client libraries are missing.  Run prebuild.bat to retrieve them.I solve it by modifying the bat file below：Just change %PYTHON% to “%PYTHON%”
Because sometimes usrers like me will install omniverse in a directory with blank space，for example
“E:\ProgramData\NVIDIA Corporation\Omniverse\lib\connectsample-101.1.6”Thank you for finding this and fixing it.  I’ll make sure this makes it into the next update!102.1.5In this release we’ve fixed a few things that needed cleaning up, but the biggest change was allowing the user to use their own Visual Studio compiler on Windows using a build tool configuration utility if they choose.  We added a dome light with an HDR texture and release notes for the Omniverse Client Library.
image957×363 43.8 KB
SamplesOmniverse Client Library103.1.0In this release we added a couple helpful samples referenced in the forums, docs, and the November 2021 GTC “Making a Connector for Omniverse” session.
A31415+MakingAnOmniverseConnector+LouRohan (Time 0_45_43;22)1920×1080 164 KB
SamplesOmniverse Client Library104.1.0SamplesOmniverse Client Library200.0.0The 200.0 release signifies big changes with the distributed Omniverse libraries. The Omniverse team has separated the USD resolver plugin from the Client library to make it easier to support more versions of USD. Live synchronization is improved for the purposes of performance, simultaneous editors, and supporting the entire USD layer editing feature set. Omniverse applications and Connectors are also now subscribing to the notion of live sessions to support non-destructive workflows. This version of the Connect Samples includes new Python and C++ examples to demonstrate this live session workflow.SamplesOmniverse USD ResolverOmniverse Client Library200.1.0
This small update to the Connect Samples fixes some simple bugs in the live session classes and updates the Omniverse Client Library and USD Resolver with the latest versions.202.0In this update we added some sample code for adding a reference, payload, and modifying a material parameter from code.

image1246×433 98.5 KB
203.0Release Date: June 2023With this release the shipped USD version is updated to 22.11 and Python 3.10 to align with the rest of the Omniverse platform.  Also a skinned skeletal mesh example was added to demonstrate how to author, skin, and animate skeletons in a live layer.Powered by Discourse, best viewed with JavaScript enabled"
