,query,data
10,cuda-toolkit-12-0-0-tensorrt-sdk-is-needed,"Hello,I’m trying to use CUDA toolkit 12.0.0 and the corresponding TensorRT SDK is not available.Could you please help to get a specific version of TensorRT which is compatible with CUDA Toolkit 12.0.0 ?Best regards,
IliesTensorRT 8.6 should be coming in the new few months.Do you have date/time for this release ?Same question here. A “few months” covers a lot of ground.Hello,You can expect to hear about the next TensorRT update at the upcoming GTC on the week of Mar 20.Cheers,
JoohoonHey everyone,TensortRT 8.6 EA is available. Please check in the download TensorRT 8.6 EARegards,
IliesThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
11,mutectcaller-invalid-tumor-sample-name-input,"I was trying to use the stand-alone toll “mutectcaller”, but in the argument --tumor-name always gave me trouble, but in the documentation there’s no example in order to understand what could be a valid name. Could you please give me some advice?Powered by Discourse, best viewed with JavaScript enabled"
12,how-to-make-nvidia-clara-parabricks-4-0-work-on-linux-arm64-platform,"As I known, currently NVIDIA Clara Parabricks 4.0  can seems work on Linux/AMD64, for example when I run as follows:
$  docker run -it nvcr.io/nvidia/clara/clara-parabricks:4.0.1-1 /usr/bin/bash
but get errors:
WARNING: The requested image’s platform (linux/amd64) does not match the detected host platform (linux/arm64/v8) and no specific platform was requested
standard_init_linux.go:220: exec user process caused “exec format error”
libcontainer: container start initialization failed: standard_init_linux.go:220: exec user process caused “exec format error”
currently I have not found any code of this NVIDIA Clara Parabricks 4.0  , so can you give some advice to transplant on Linux/ARM64 ?Hey @yinwei0108,Currently Parabricks doesn’t support ARM.Powered by Discourse, best viewed with JavaScript enabled"
13,cannot-delete-a-license-server,"Hi, there,I created a license server without checking “Create legacy server” for a trail.But I could not delete it.

image1447×494 55.4 KB
I could not find where to delete or release resources.

image1497×936 143 KB
And I was trying to delete the service instance,

image1497×936 108 KB

image1497×936 145 KB

it showed:The service instance “0011w000024umcvqae-2022-08-04_09-21” has license server(s) installed on it.
Please return the licenses before deleting the service instance.I don’t how to return the licenses. Please help guide me to return the licenses.I have found the solution by googleing.I have deleted the related resources.Powered by Discourse, best viewed with JavaScript enabled"
14,profiling-parabricks-germline-with-nvprof,"Hi!
I want to do some benchmarks of the full germline using different input files but I cannot manage to use nvprof on it.
How can I run nvprof on pbrun given that the application is inside a singularity image?
I tried the following trivial command but it didn’t work:
nvprof -o profile.nvprof pbrun germline […] 
Thanks in advance.Powered by Discourse, best viewed with JavaScript enabled"
15,how-to-deploy-parabricks-using-aws-ami,"Planning to deploy Parabricks on AWS, is there an AMI for ease of deployment?If you are planning to deploy Parabricks on AWS, we created an AMI for ease of deployment. If you are interested in using the AMI, please send an email to parabricks-support@nvidia.com with the subject line: AWS AMI for Parabricks, along with your AWS Account ID. Our support team will white list the AMI so you can access it from your AWS console.We also have a recipe to run the AMI on AWS Batch. If you are interested, please email us at parabrick-support@nvidia.com  with your GitHub ID and we will give you access to the repository.Researchers and scientists using NVIDIA Parabricks on AWS may be eligible for AWS promotional credits through the AWS Diagnostic Development Initiative (DDI) Program.Powered by Discourse, best viewed with JavaScript enabled"
16,how-to-download-clara-parabricks-pipelines-trial-version,"Here are the instructions to download the trial package when you have been granted access.NGC_PARABRICKS_SETUP_instructions.pdf (7.4 MB)Thanks. I have finally installed parabrick. But while trying it on one sample, I am getting an error “cudaMemGetInfo returned 30” . The command and error are shown below:date; pbrun somatic --ref /hg19/ucsc.hg19.fasta --in-tumor-fq /test/SRR3163205_1.fastq.gz /test/SRR3163205_2.fastq.gz --out-vcf /test/SRR3163205.vcf.gz --out-tumor-bam /test/SRR3163205_tumor.bam; dateWed Jan  6 18:49:59 IST 2021
Please visit https://docs.nvidia.com/clara/#parabricks for detailed documentation[Parabricks Options Mesg]: Automatically generating ID prefix
[Parabricks Options Mesg]: Read group created for
/home/akansha/vivekruhela/parabricks_free_trial_vv3.2.0_2021-02-28/test/SRR3163205_1.fastq.gz and
/home/akansha/vivekruhela/parabricks_free_trial_vv3.2.0_2021-02-28/test/SRR3163205_2.fastq.gz
[Parabricks Options Mesg]: @RG\tID:SRR3163205.1.1\tLB:lib1\tPL:bar\tSM:tumor\tPU:SRR3163205.1.1cudaMemGetInfo returned 30
 → unknown error
Please contact Parabricks-Support@nvidia.com for any questions
Exiting…Could not run fq2bam as part of tumor sample processing for somatic pipeline
Exiting pbrun …
Wed Jan  6 18:50:01 IST 2021Kindly suggest. Thanks.Hello, I have followed this stuff, but no files downloaded to my computerHi Vivekr1,can you please give me more information about :Can you also make sure not to run the software within the directory where you installed it.Regards,
MyriemeHi nur.1233We are sorry you are facing this error. We are aware of the download issue using the UI.
We are working on a fix and I will let you know when it is back to normal.
If you want to download it before, you can use the CLI as explained in the second part of the document.Best,
MyriemeHere is the output from nvidia-smi

Screenshot_2021-01-07_15-50-271024×768 79.9 KB
I am using docker version of parabrick.Vivekr1,We are sorry but it seems that the GPUs you are using don’t meet the minimum requirement for Clara Parabricks Pipelines software :https://docs.nvidia.com/clara/parabricks/v3.2/text/getting_started.html#prerequisitesDoes that means, for 2 GPU server there should be 100 GB CPU RAM and 24 threads. It has nothing to do with 2 units of 11 GB GPUs. Please correct me if wrong.But my server has 126 GB RAM and 40 threads. Although 3 jobs are running and 40 GB of RAM and 30 threads are engaged.I was referring to
Any GPU that supports CUDA architecture 60, 61, 70, 75 and has 12GB GPU RAM or more. It has been tested on NVIDIA P100, NVIDIA V100, and NVIDIA T4 GPUs.If I replace 11 GB GPU with 12 GB GPU, will that work?? I hope the rest of the requirements are fulfilled except GPUs. So, I need confirmation so that I can initiate the process for GPU replacement.Hello everyone,
Could anyone please tell me if it is possible to execute Parabricks on Google Colab Pro, as they also provide high end GPUs?
If possible, could I have some instructions on how to go ahead with it?
Thanks a lotHi, I filled the submit multiple times, but I didn’t received any e-mail for the activation of the trail or for the installation. Can you give some hint if I had only to wait for the e-mail or if there’s somethig I can do?EDIT: I recived the e-mail, so I was able to download the tar.gz file.Powered by Discourse, best viewed with JavaScript enabled"
17,could-not-run-fq2bam-as-part-of-germline-pipeline,"hi,I am  getting the following error below when running pbrun germline. Sometime it works (can run completely), sometime it throws the error below. It happened in both v3.5.0 & v3.7.0.For v3.5.0:For v3.7.0How can I solve this?Hi @tj_tsaiCan you please let us know what is  tmp-dir disk size and memory size on the server?
And I would recommend you to not use the option --x3 .what is tmp-dir disk size?what is memory size?I would recommend you to not use the option --x3 .Where the --x3 option is provided from the earlier NV members for debug use.hey @mdemouth
Do you have any clues or tools to debug the error case (killed when running germline)?
or is there any other ways to dump more information about the situation?Hi @tj_tsai ,Is this a shared node on a cluster? Are there other things running on this system?hi @mdemouth ,
Yes, I run it in a pod (in a node on a cluster).
There are other things running in other pods on the same node.hi @mdemouth,
if parabricks is running in a shared node (with 128GB of CPU RAN),
is it recommended to use the parameter --memory-limit 128 (unit: GB) or some other way?Hi,This is likely what produces the issue.
We recommend to reserve the full node for such job to prevent this issue to happen.--memory-limit  tells how much RAM is available for Parabricks job. But it does not guarantee the system has this much RAM on a shared nodeBest,
Myrieme@mdemouthAbout the --memory-limit experiments.I have tried the parameter --memory-limit in an EC2 instance of type gdnn.2xlarge (T4, 8vCPU, 32GB) on AWS. If I run germline without the parameter --memory-limit (i.e. by default), the output.vcf can be generated successfully. But if I pass the parameter --memory-limit 28 or 26 or 20 to germline, it will get the OOM signal (killed by OOM-killer) when running Program3 (Marking Duplicates, BQSR). Actually, germline just works for less than or equal to 16.The strange thing is that the instance doesn’t use shared memory, why does it get OOM with --memory-limit 28 on a VM with 32GB of RAM (avaialble: 30GB) ?Here is the germline script.
image1012×702 118 KB
This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
18,fq2bam-rel3-nanopore-wgs-288418386-fab39088-fastq-gz,"Hi. Please help to debug.
Sample downloaded from
aws s3 cp s3://nanopore-human-wgs/rel3-nanopore-wgs-288418386-FAB39088.fastq.gz .Hi Alex,We are sorry that you are facing this error.
Unfortunately,  fq2bam is only intended for short reads, and here your you use a long reads fastq file.MyriemeHi, mdemouth.Thank you for your reply.
Another question. Originally BWA MEM works with  Oxford Nanopore reads. Is this option -x implemented in Parabriks? Or Parabricks does work exclusively with Illumina?Powered by Discourse, best viewed with JavaScript enabled"
19,parabricks-crashes-when-primary-user-group-is-not-allowed-to-use-gpu-devices,"Hello,I hope this is the right place to post this issue, if not please redirect me.after installing the parabricks software I am unable to start the germline pipeline. Executing “pbrun version” and “pbrun germline --help” both work fine, with the expected output.The administrator of the system I am using decided to permit access to the gpu devices /dev/nvidiaX only for users of a specific group (484). Because we are using other means to authenticate users, my users primary group is fixed at a different number (say 50000). Unfortunately, in the way that pbutils.py is retrieving the uid:gid combination for docker run (getpwnam) it refers to the passwd database of the system.Therefore parabricks is always invoked with docker run -u USERID:50000, but nvidia devices in the container are still locked to the group 484.I worked around this issue by modifying the proper line in pbmaster.py, to just always send the correct gid. Can this be fixed properly somehow (f.e. by retrieving this data from the executing shell)? Note that pbrun germline --help retrieves the data from the gpu devices correctly, so it seems to be doing something different than the actual pipeline execution…Thank you  for your interest in Clara Parabricks Software, and sorry to hear you had some hard time running it.
As you mention, our software gets the group ID from the primary group.
A request for enhancement have been initiated.
Thank youPowered by Discourse, best viewed with JavaScript enabled"
20,v4-0-vs-v3-6-germline-pipeline-had-difference-in-header-in-gvcf-file,"Hi Parabricks team,I was running Parabricks Germline pipeline with most of my sample ran on version 3.6, and some of my new samples ran with version 4.0 with the same options, the only difference is Docker Image.
But when I do joint-calling, I found out that the GVCF header is slightly different in DS, show as below:When I checked documents, I did’t see any note of the difference of Germline options. That’s why I assume the default stay the same between v3.6 and v4.0.
So, I’m wondering if there are any difference in v4.0, compared to v3.6, might cause this problem?
And how can I output “<ID=DS,Number=0,Type=Flag,Description=“Were any of the samples downsampled?”>” in header on my next run on version 4.0?
I try to consist my gvcf header to avoid re-run my old sample and/or manually correct the header one-by-one. Thanks for help!Po-YingHey @fup,Different versions of Parabricks germline are are based on different versions of GATK so there will be some subtle differences in versions. The latest version 4.0.0-1 uses BWA version 0.7.15 should match results from GATK version 4.2.0.0. I believe that 3.6 results should match with GATK 4.0 or even earlier, so that could explain the differences in the GVCF header.Powered by Discourse, best viewed with JavaScript enabled"
21,tensor-interoperability-with-multiaiinferenceop,"We want to pass an input tensor from a custom Holoscan operator into MultiAIInferenceOp in Holoscan v0.5.0.However, we get the following error:2023-06-12 00:02:12.516 ERROR /workspace/holoscan-sdk/modules/holoinfer/src/utils/infer_utils.cpp@25: Error in Multi AI Inference Codelet, Sub-module->Data_per_tensor, Tensor output_tensor not foundIt appears that MultiAIInferenceOp is not able to locate the tensor “output_tensor”.In our custom operator, do we need to structure or name our output tensor so that MultiAIInferenceOp can find it?We based our python code on the Holoscan documentation and examples on tensor interoperability. We have the following code in our compute() method in our custom operator (ImageProcessingOp):We also have the following in our .yaml file:We also labeled the input/output ports between the custom operator (ImageProcessingOp) and the MultiAIInferenceOp:Here is the full error message for reference:We have been successful in passing tensors between custom operators and even between built-in Holoscan operators (eg. FormatConverterOp) and a custom operator but have been unable to do this with MultiAIInferenceOp.Thank you for any assistance or guidance you can provide!Hello, I have a guess as to what may be happening.When we do op_output.emit(out_message, ""output_tensor"") and I assume in setup() spec.output(""output_tensor""), “output_tensor” is specifying the output port name, which is different from the tensor name. Please see the example under You can add multiple tensors to a single holoscan.gxf.Entity object by calling the add() method multiple times with a unique name for each tensor, as in the example below: in Creating Operators - NVIDIA DocsIn the MultiAI Ultrasound example, we see that plax_cham_pre_proc is the output tensor name from the preprocessor (FormatConverter) holohub/multiai_ultrasound.yaml at main · nvidia-holoscan/holohub · GitHub, and when connecting the operators we’re not using tensor names but port names, in this case the outgoing port name from the FormatConverter is “”, holohub/multiai_ultrasound.py at main · nvidia-holoscan/holohub · GitHub, and then in the downstream operator it referenes the tensor name plax_cham_pre_proc again holohub/multiai_ultrasound.yaml at main · nvidia-holoscan/holohub · GitHub.Given the info above, could you try to add a unique name to the tensor when adding to the output in your custom op?and reference that name in the MultiAIinference spec in yaml:Thank you very much for your help and the detailed response! We were able to name the tensor using the approach you suggested and get it working.Great to hear that it’s working!This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
22,troubleshooting-download-example-fastq-files,"Hi there,Doc: Download Example FASTQ Files
I followed the instructions and found something different.Q1: Convert SRA to FASTQ files(It might take 35~39 hours for fetching.)I tested the command fastq-dump and found that it didn’t convert the SRA files to FASTQ files.
Instead, it fetched the FASTQ files directly from the NCBI SRA source.The conversion command should be:(prefix files with ./)
(It might take 13~15 hours for conversion.)Q2:  paired reads have different names: “SRR7890824.1.2”, “SRR7890824.1.1”Doc:  somatic pipelineI followed the instructions and got the following error.

image935×375 39 KB
Where SRR7890824.1.2 means accession.spot.readid
The readid should not be placed in fastq files, otherwise it will cause the somatic pipeline to throw an error.Therefore, the conversion command should be corrected to:(don’t take the parameter -I)or to fix pbrun somatic to accept the fastq format accession.spot.readid?Could you clarify the two questions?Hello @tj_tsai ,This seems to be indeed an error. Thank you for bringing this to our attention.
We will update the documentation.Best,
MyriemeThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
23,nvidia-parabricks-does-pbrun-support-gpu-options,"hi, thereWhen I ran pbrun fq2bam ... to test a small dataset, I met a memory error as shown below.Here is the GPU summary of the Driver and CUDA versions
image726×443 48.7 KB
Is there any methods to restrict the GPU usages ( memory<= 11GB) to fulfill my requirements?Not enough available memory for these GPUs…Attached the log:According to the article “There is no CUDA API to limit memory usage, with or without nvidia-docker.”,there is a comment:There is no CUDA API to limit memory usage, with or without nvidia-docker.so bad…Hi,we are sorry, but one of the requirements of Clara Parabricks Pipelines is GPU with 12 GB memory RAM or more.https://docs.nvidia.com/clara/parabricks/v3.0/text/local_installation.htmlMyriemePowered by Discourse, best viewed with JavaScript enabled"
24,use-genotypegvcf-with-genomicsdb-workspace,"Hello!Im trying to perform joint genotyping on one or more samples pre-called with HaplotypeCaller using  gatk genotypegvcf (https://gatk.broadinstitute.org/hc/en-us/articles/360046224151-GenotypeGVCFs).I have created GenomicsDB workspace with GenomicsDBImport, but it looks that pbrun genotypegvcf doesn’t work when GenomicsDB.I am able to converts variant calls in g.vcf format to VCF, but why does GenomicsDB doesn’t work?Command I’m using:Output:genotypegvcf doesn’t recognize GenomicsDBHi,We are sorry but the input --in-gvcf should be a g.vcf or g.vcf.gz file, and not a GenomicsDB workspace.Best,
MyriemeThis topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
