,query,data
10,what-are-the-specifications-on-the-surface-mount-capacitors-resistors-on-a-gtx-1080-gp104-die,"I need to know the specifications of the surface-mount capacitors/resistors on a GTX 1080 (GP104) die in order to replace two that have been detached. I don’t know if they’re all the same, so I will describe where the two are missing.Looking at the die right-side up (writing in normal position, triangle in top-left corner), the two missing surface-mount components are:A picture of the two spots are also attached (shown with black arrows).Also, I would like to know the same specifications of a few other surface-mount components that are still on, though need replacing:A picture of the three spots are also attached (shown with red arrows).I would like to know the specifications/part numbers to order replacements for these. Thank you for your help.
gp104480×640 118 KB
Powered by Discourse, best viewed with JavaScript enabled"
11,unable-to-install-nvidia-modulus-on-redhat7-7,"I’m trying to install nvidia module on linux redhat machine and following below instructionsThe installation guide can be found in Installation — Modulus 22.09 documentationI’m getting the error while loading the modulus_image_vxx.xx.tar.gz. Please suggestError:symlink …/c37e8281a6d7a8a129b2208d3bbe1d474bac6beb50270d420188c63be383b7a4/diff /var/lib/docker/overlay2/l/6PWD4ZLMOXXVIOWY7GGMPWR6ZQ: no such file or directoryNote: Docker already installed on this machine/usr/bin/dockerDocker version 20.10.17, build 100c701Hi @chandusoft028Sorry this isn’t working for you. We don’t test on RedHat so we aren’t able to capture these issues at the moment.Are you able to run the PyTorch 22.08-py3 container from NGC (This is the base image of Modulus)? If for some reason that works and the Modulus one does not, you could consider a bare metal install or build a container from scratch without PySDF modifying the dockerfile.Powered by Discourse, best viewed with JavaScript enabled"
12,error-when-running-cylinder-2d-py-example-gtx-1660,"Hi,I have a student learning Modulus. His GPU is GTX 1660 Super. He’s using the docker file from pytorch under WSL. We installed Modulus 22.09 based on the instructions here:https://forums.developer.nvidia.com/t/problem-using-modulus-22-07-in-wsl2/226578/2The ldc_2d.py and helmotz.py examples worked but the cylinder_2d.py failed. The error msg is:root@8210ecb7e13a:/mini_examples_22.09/cylinder2# python cylinder_2d.py
[13:03:04] - JIT using the NVFuser TorchScript backend
[13:03:04] - JitManager: {‘_enabled’: True, ‘_arch_mode’: <JitArchMode.ONLY_ACTIVATION: 1>, ‘_use_nvfuser’: True, ‘_autograd_nodes’: False}
[13:03:04] - GraphManager: {‘_func_arch’: False, ‘_debug’: False, ‘_func_arch_allow_partial_hessian’: True}
length scale is 20 meter
time scale is 20.0 second
mass scale is 8000.0 kilogram
[13:03:08] - attempting to restore from: outputs/cylinder_2d
[13:03:08] - optimizer checkpoint not found
[13:03:08] - model flow_network.0.pth not found
/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/eq/derivatives.py:85: UserWarning: FALLBACK path has been taken inside: runCudaFusionGroup. This is an indication that codegen Failed for some reason.
To debug try disable codegen fallback path via setting the env variable export PYTORCH_NVFUSER_DISABLE=fallback
*** (Triggered internally at /opt/pytorch/pytorch/torch/csrc/jit/codegen/cuda/manager.cpp:329.)***
***  grad = gradient(var, grad_var)***
Error executing job with overrides: []
Traceback (most recent call last):
***  File “cylinder_2d.py”, line 176, in run***
***    slv.solve()***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/solver/solver.py”, line 159, in solve***
***    self._train_loop(sigterm_handler)***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/trainer.py”, line 521, in _train_loop***
***    loss, losses = self._cuda_graph_training_step(step)***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/trainer.py”, line 702, in _cuda_graph_training_step***
***    self.loss_static, self.losses_static = self.compute_gradients(***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/trainer.py”, line 54, in adam_compute_gradients***
***    losses_minibatch = self.compute_losses(step)***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/solver/solver.py”, line 52, in compute_losses***
***    return self.domain.compute_losses(step)***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/domain/domain.py”, line 133, in compute_losses***
***    constraint.forward()***
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/domain/constraint/continuous.py”, line 116, in forward***
***    self._output_vars = self.model(self._input_vars)***
***  File “/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py”, line 1186, in _call_impl***
***    return forward_call(input, kwargs)
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/graph.py”, line 220, in forward***
***    outvar.update(e(outvar))***
***  File “/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py”, line 1186, in _call_impl***
***    return forward_call(input, kwargs)
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/eq/derivatives.py”, line 85, in forward***
***    grad = gradient(var, grad_var)***
RuntimeError: The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
***  File “/opt/conda/lib/python3.8/site-packages/modulus-22.9-py3.8.egg/modulus/eq/derivatives.py”, line 24, in gradient***
***    “”""***
***    grad_outputs: List[Optional[torch.Tensor]] = [torch.ones_like(y, device=y.device)]***
***    grad = torch.autograd.grad(***
***           ~~~~~~~~~~~~~~~~~~~ <— HERE***
***        [***
***            y,***
RuntimeError: The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
RuntimeError: The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
RuntimeError: The following operation failed in the TorchScript interpreter.
Traceback of TorchScript (most recent call last):
***  File “”, line 119, in fallback_cuda_fuser***
***            def backward(grad_output):***
***                input_sigmoid = torch.sigmoid(self)***
***                return grad_output * (input_sigmoid * (1 + self * (1 - input_sigmoid)))***
***                       ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ <— HERE***
***            return result, backward***
RuntimeError: CUDA error: unknown error
CUDA kernel errors might be asynchronously reported at some other API call,so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1.Set the environment variable HYDRA_FULL_ERROR=1 for a complete stack trace.
root@8210ecb7e13a:/mini_examples_22.09/cylinder2#May I know what’s wrong? Is it due to the GPU or driver problem?Thanks.Hi @tsltaywbTypically when you see these RuntimeError: The following operation failed in the TorchScript interpreter. its a torch script / Just-In-Time (JIT) failure.For this problem try shutting off JIT via the problem config.yaml:ok sure. I’ll give it a try.Btw, do u have any idea why it happened?Because I have similar docker image under WSL but I didn’t encounter this problem. The hardware is different though.Thanks!Powered by Discourse, best viewed with JavaScript enabled"
13,validating-models-from-v20-12-in-the-new-release-v21-06,"Hi!There was a problem, all the models that I trained before the release of v21.06 now do not work out, I have to retrain. What could be the mistake?I attach the text of the logs
problem (9.6 KB)There has been a few changes to the neural network architectures and tensorflow variables in v21.06, and you won’t be able to load your checkpoints trained with the previous versions unless you manually make some changes to the SimNet source. Here the network expects a global_step variable of type int64, but the saved one in your network checkpoint is of type int32. We have changed the type of this variable from int32 to int64 in v.21.06.Powered by Discourse, best viewed with JavaScript enabled"
14,clarifications-about-conjugate-heat-transfer-example,"Hi,
i’m working on a project based on the example “conjugate heat transfer” where I have a hot inlet flow that heats a piece placed inside a channel. Since “conjugate heat transfer” is very similar to my project i have some questions about it:I ask you if this have sense, and  why in the example “conjugate heat transfer” you didn’t write the code like that and you preferred the constraint “pressure=0”.Thanks to your support I was able to solve various problems and I hope that this time too you can give me some help.Hi @tom_02Why you add outlet constraint “pressure=0”?Since Navier-Stokes depends on the pressure gradient, the outlet defines the value/range of the pressure for the flow. This is not the only approach however, similar to fluid simulations there are multiple inlet, outlet and interior constraint combos that can be used (some with better convergence than others). So don’t interpret whats in the example as the only solution!Is the use of integral constraint in the example similar to what i have explain in the last question? I ask this because from the example it seems that the integral planes is added with the constraint of have the same “normal_dot_vel”.The integral constraints greatly help with the convergence of fluid flow problems. For many of the more complex problems, we have found these constraints to be essential to avoid having the network converge to a trivial solution.Where i can find more information about the normal_dot_vel parameter and what it represent? If it represent something connected to the volumetric flow why didn’t you insert an integral plane also in the outlet?The normal dot vel returns the velocity dot normal vector. The normal direction is provided by the geometry module.Inside your channel you don’t have constant pressure, but if i want to add this constraint, can this be done using “PointwiseInteriorConstraint”?Correct, this is the purpose of the outlet constraint. If you want to have an interior pressure constraint what you have would be the right approach.Hi @ngeneva,
thanks for the answer.
Is the unit of pressure to specify in the constraint the pascal or the bar?Pascal since we are typically in SI. But remember that most of the time the units/field variables should be interpreted as normalized/non-dimensionalized.Powered by Discourse, best viewed with JavaScript enabled"
15,about-transfer-learning-with-modulus,"I would like to try transfer learning using Modulus.
Is it possible to do transfer learning like the following?Powered by Discourse, best viewed with JavaScript enabled"
16,variable-inlet-boundary-condition,"Hi, is it possible to implement a variable boundary condition?For e.g.: inlet vel = V_constsin(2pift)In this case, the inlet velocity varies with time.Else, where in the source code can we modify it to add this feature?Thanks.Hi, the way to do this is to make a variable and assign a param_ranges in the boundary condition. For example:
t = Symbol(‘t’)
Wall = rec.boundary_bc(outvar_sympy={‘u’: t},
param_ranges={t: (0, 1.)},
batch_size_per_area=100)
self.add(Wall, name=“Wall”)For more detail, you may take a look at section 4 Transient physics: 1D Wave Equation, Case Setup.
Hope this can help!Thanks, I will give it a try!Powered by Discourse, best viewed with JavaScript enabled"
17,note-using-experimental-fast-data-loading-logic-to-disable-pass-load-fast-false-and-report-issues-on-github,"I keep getting this message when running the lcd example in Modulus.
The tensorboard link does not work and I have tried using the command in the github page.How else do I go about this so I can visualize the results?

tensorboard _error777×515 74.8 KB
Tensorboard is the primary method for visualizing Modulus results. I would suggest looking online for tensorboard solutions to help solve your problem. Alternatively, one can always modify Modulus to write out losses and plots to file:Powered by Discourse, best viewed with JavaScript enabled"
18,applicability-for-fluid-simulations,"Hi,
I would like to know, if it is possible to use SimNet for Simulating a fluid (e.g. water) in a predefined object (e.g. glass) and how to do so. Thanks in AdvancePowered by Discourse, best viewed with JavaScript enabled"
19,two-equation-turbulence-model,"Hello,
I tried to add two-equation turbulence model (k-epsilon turbulence model) for simulating air flow behaviour in an air cooled heat exchanger. I referred to the heat sink example for problem setting because the basic physics is similar. However, I always encountered a problem “loss went to Nans” during training.  My SimNet version is 21.06.
Would you please tell me what’s wrong it is and share some experience to improve the convergence? What’s more, I am wondering if you could kindly send me an example (two-equation turbulence model) for reference.Thanks,
Zhiyong WuHello @wuzhy55 , At the time you tested this the k-epsilon turbulence model was very finicky. We now have dedicated examples for k-epsilon and k-omega you can take a look at.Powered by Discourse, best viewed with JavaScript enabled"
20,evaluation-of-the-model-after-training,"once a model is trained in Modulus, how can I evaluate the results for a range of inputs? I’m expecting to get the outputs instantaneously without running the simulations.Hi @smraniakiThere are a couple of ways, the first “Modulus workflow” approach is using the evaluate mode built into the solver: solver.eval(). This will just run any inferencer / validators you’ve added. See the _eval function in the trainer: https://gitlab.com/nvidia/modulus/modulus/-/blob/release_22.09/modulus/trainer.py#L749Alternatively you could look at loading the model checkpoint manually using a Modulus model. This checkpoint is saved in the outputs folder of your run. Then running inference manually in a typical PyTorch method:
https://gitlab.com/nvidia/modulus/modulus/-/blob/release_22.09/modulus/models/arch.py#L165This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
21,blog-using-physics-informed-deep-learning-for-transport-in-porous-media,"Flow in a Porous Media - Traditional solvers introduce diffusion due to mesh discretization converting a hyperbolic problem to a parabolic one. Kudos to Cedric Fraces who solved the hyperbolic problem with SimNet. Read our blog here : Using Physics-Informed Deep Learning for Transport in Porous Media | NVIDIA Technical BlogTo view this GTC’21 session, see : Physics-Informed Neural Network for Flow and Transport in Porous Media | NVIDIA On-DemandPowered by Discourse, best viewed with JavaScript enabled"
22,cant-solve-high-density-fluid-flow,"Hello,I would like to solve a high density fluid flow(e.g. water) that is 3D and unsteady.I’m trying the taylor-green example with water property(nu=0.000001, rho=1000) but the reduction of train loss is much slower than one in the original setting(nu=0.002, rho=1.0) and the flow doesn’t evolve with time at all.I used 22.07 for taylor-green and 22.03 for some other problem with high density flow.
All of their results are not well.If you have idea to solve high density fluid flow, please let me knowRegards,Hi @yokoi.toshiakiSuccess in physics-informed learning greatly depends on proper scaling of the different quantities present in the physical system. For example the domain may be adjusted for a higher viscosity, etc. There’s on info on this here. Without a proper scaling of the physical system, the machine learning will be nearly impossible. This can include material properties, extremes rarely work without a lot of work.I have not personally tried Taylor Green on the parameters, but the very small viscosity is effectively removing the influence of the diffusion term. This could be causing the model to fall into a local minima based on the initial condition that it cannot escape for learning any dynamics in time. This is just speculation of course.Regardless, by reducing your dynamic viscosity and increasing density will make the Reynolds number very large entering turbulence, which will be extremely challenging (not possible presently) for PINNs with zero data. Hence the reason PINNs is typically used for lower Reynolds number flows.Thanks for your detailed reply.As you mention the fundamental problem depends on scaling and optimization I think too.I’m going to investigate it more.Thanks,Hello,Is there any progress made since then?I’m facing the exact same issue, but didn’t find a way to solve it yet, even with scaling and adjusting my network and weighting.
It would be really helpful to know if anyone has solved this problem and how.Thanks a lot in advance.Powered by Discourse, best viewed with JavaScript enabled"
23,modulus-22-03-installation-instructions-and-user-manual,"Similar to Modulus 21.06, is there any user guide for Modulus 22.03? Like What modifications were done to FNOs and AFNOs? Is Modulus still using signed distance functions?Modulus documentation is now available online here: Modulus User Guide — Modulus 22.07 documentationThanks a lot. I could not find this link when downloading Modulus.This topic was automatically closed 14 days after the last reply. New replies are no longer allowed.Powered by Discourse, best viewed with JavaScript enabled"
